========================================================================
TRANSCRIPTION REPORT
========================================================================
Fine-tuned model : ./whisper-merged-ar-ps
Baseline model   : openai/whisper-large-v3
Audio directory  : data/audio
Lectures         : 2
Total segments   : 300

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Lecture : NLP_20260221
  Segments total  : 221
  Flagged         : 7
  Duration        : 4848.4 s
  Segs w/ ref     : 221

  Model                      WER (raw)   WER (norm)  CER (raw)
  ───────────────────────── ────────── ──────────── ──────────
  Baseline (large-v3)           0.7138       0.5914     0.4572
  Fine-tuned                    0.3899       0.2201     0.1755
  Improvement                  +0.3240      +0.3713    +0.2818

  Auto-flagged segments:
    segment_029: ['repetition_loop (ratio=0.99)', 'high_cer (cer=1.56)']
    segment_055: ['repetition_loop (ratio=0.97)', 'no_arabic (arabic_ratio=0.03)', 'high_cer (cer=1.48)']
    segment_154: ['repetition_loop (ratio=0.89)', 'too_dense (wps=8.33)', 'high_cer (cer=4.48)']
    segment_162: ['no_arabic (arabic_ratio=0.00)']
    segment_171: ['too_sparse (wps=0.21)']
    segment_202: ['too_sparse (wps=0.10)', 'high_cer (cer=0.74)']
    segment_209: ['repetition_loop (ratio=0.99)', 'too_dense (wps=8.63)', 'high_cer (cer=11.12)']

  Segment details:
  ID                   Dur(s)   WER-FT   WER-BL   CER-FT  Flag
  اللي بتكتبنيه اللي إحنا بدنا نركّز على الـ Naive Bayes أولها، أعطيه كل
  كلمة كم مرّة تكرارها الـ vector يعني معنى آخر، بتعطيك الـ class،
  positive مثلاً negative إذا كان الـ sentiment analysis. طيّب نراجعكم
  في الـ Bayes rule سريعاً، الـ Bayes rule شو بتحكي؟ شو بتحكي؟ إنت بدّ،
  إنت مهتم تعرف الـ class given document، مهتم تعرف شو هو الـ class لـ
  document معيّن، صح؟ كم document، كم class عندك؟ c1 و c2 مثلاً. إذا
  حسبت الـ probability عند الـ c1 عند الـ document هاد، والـ probability
  للـ c2 الـ c2 عند الـ document، عند نفس الـ document، وكانت الـ
  probability للـ c1 أكبر من الـ probability للـ c2 عند نفس الـ
  document، شو بتستنتج؟ إنّه هاد الـ document الـ class إله c1، باختصار،
  أنا شو هدفي إذاً؟ هدفي إني أعمل quantification لهذا الـ model p
  capital، هاي، أحسب الـ model، أنشئ الـ model. بنشئ الـ model. كيف
  بنشئوا هاد الـ model؟ من هاي المعادلة، من الـ Bayes rule. طب اطلّع على
  هاد الشق، هاد الشق الأيسر اللي حكينا عنه إذاً. هاد الشق الأيسر، خلينا
  نشوف الشق الأيمن هلّأ، هاد بيسمّه الـ posterior probability أو الـ
  posterior probability. هاد الشق الأيمن هو تطبيق قاعدة الـ Bayes rule
  الـ Bayes rule، الـ prior ضرب الـ likelihood على إيش؟ الـ
  marginalization factor اللي بيعمللك normalization. normalization. ...
  يعني إنت شوف شو بدّك؟ إنت probability للـ class صح؟ هيّا، بس هاي شو
  هي؟ هاي المعلومات المسبقة عندك عن الـ probability لهاضا الـ class،
  اللي مش محدّثة، الـ prior السابقة، إنت عدّلتها هون لمّا ضربتها في هاي
  في الـ likelihood، عدّلتها بما يتناسب مع محتويات الـ documents
  document، هلّا بسمّوه الـ likelihood. تتذكّروا لمّا أخذتوا الـ Bayes
  rule؟ قدّيش احتماليّة إنّها تمطر الدنيا؟ 50% 50%. قدّيش احتماليّة
  إنّها تمطر given إنّه شتاء الدنيا؟ بترتفع الـ probability يعني بتزيّد
  أسر أضك. الـ adhoc. نفس الـ إشي، احتماليّة إنّه الـ class c1 50%
  مثلاً، لكن احتماليّة إنّه class c1 given إنّه هاي الكلمات اللي في الـ
  document، أنا بعدّل أنا الـ probability هاي عشان تتناسب أكثر مع الـ
  document. هلّا هون شو؟ هذول بكفّوا، بس هاي المقام المقام عشان أعمل
  normalization ويرجع، هاي الـ probability تكون الـ probability
  distribution that sums up to 1. بدونها بكونش لمجموع 1 عند كل class.
  ... إذاً هاي الـ Bayes rule بدنا نستخدمها في الـ Naive Bayes. بقى شو
  بيحكينا في هاد الـ في هاد الـ slide. هذا الـ slide. رح بس شايفين اللي
  حكيناه هون؟ هني أكبر، حطّهم بشكل argmax بدّك تلف على كل الـ classes،
  class class، وتجرّب الـ probability هاي عند كل class، مرّة عند الـ c1،
  مرّة عند الـ c2، بعدين اللي بعطيك الـ probability، الـ class اللي
  بعطيك probability أعلى بترجعه. على probability. فشو عمل؟ إذاً هاي هاد
  الـ posterior probability اللي هي الشقّة الأيسرّة في المعادلة، راح
  عوّض محلها الشقّة الأيمن، Bayes rule، بعدين لغى المقام، ليه لغى
  المقام؟ لإنّه ثابت عند كل الـ classes، نفس القيمة عند كل الـ classes
  هذوت. class هذوات، فمش راح يعني يأثر بالضبط constant هاد، فشاله، شو ظل
  عندي؟ ظل عندي هذول الـ 20، احتماليّة الـ document given الـ class،
  واحتماليّة الـ class. وده هادو somewhere maximum a posteriori، most
  likely class class، هاي الـ Bayes rule طبّقها هون dropping the
  denominator. إذاً شو صفّه عنده بالنهاية؟ هو الـ class اللي بعطيك على
  probability من ناتج طرب هاي مع هاي. طبعاً الـ d فرطها هون، الـ d فرطها
  الكلمة الأولى، الكلمة الثانية، لحد الكلمة n في الـ document. في الـ
  document. هل مراعي الترتيب هو لحد هلّا ولّا لأ؟ حد هاي اللحظة مراعي
  ترتيب الكلمات في الـ document. إذاً لإنّه شو هاي؟ احتمال تكون الكلمة
  الأولى x1، والكلمة الثانية x2، إلى آثار. إلى آخره. document دي
  represents as features، feature vector زي ما حكينا، document دي مجموعة
  من الأرقام. هلّأ بدّي أورجيك ليش راح للنيفه، هون من هاي الـ slide بدّي
  يحكيلي ليش مطبّقش الـ Bayes rule زي ما هي ما هي، ورح أستخدم إشي
  نيّيّذ، يعني باستخدام الـ back of word. بسألك أسئلة، how often does
  this class occur؟ يعني هاي. يعني يعني بدّه يقلّك كيف بدّك تحسب هاي؟
  probability لـ class، شو رأيكم؟ صار؟ ... يعني أنا عندي training
  dataset هيك صح؟ هيك شكلها، هاد الـ document الأول، هاد الثاني، إلى
  آخره، وعندّي مثلاً c1، c1، c2، إلى آخره، وجدت قلتلك روايتي للـ c تساوي
  c1، شو بتحكيلي؟ شو بتحكيلي؟ ... بالضبط، كم مرّة تكرّرت c1؟ على عدد كل
  الـ documents، بتطلع عندك الـ probability للـ c1، وبالتالي بتحسب الـ
  c2 إلى آخره بنفس الطريقة، قدّيش مجموع الـ probabilities لكل الـ
  classes؟ it should sums up to 1. إذاً هاي سهل، هاي سهل إحسابها. سهل
  إحسابها. we can just count the relative frequencies in a corpus زي ما
  عملنا، هلّا إجاّلي، إجاّلي على الثاني هاي، كيف بدّنا نحس- هاي الـ p
  اتفقنا كيف نحسبها، قبل شوي شوفنا، كيف نعملها quanti- هاي الـ p هاي الـ
  p ... قصّلك تحكيها بطريقة ثانية، هاي إذا بدّك تحلّليها بكلمات بسيطة،
  قدّيش احتماليّة إنّه هاي الكلمات تيجي في هاد الترتيب؟ الترتيب في الـ
  documents اللي إلهم class c بس. تمام، إذا متفكين إحنا شو معناها؟ بس
  بقلّك هون في مشكلة عندنا، space، space complexity عالي، يعني لو بدّك
  تفكّر فيها، لو بدّك تبني هاضا الـ model، بتعملّك quantification، بتبني
  الـ model B هاضا، الـ p هاد، عدد الـ probabilities اللي بدّك تحسبها
  وتخزّنها، قدّيش؟ x طول الـ هجم الـ vocabulary للقوة n ضرب عدد الـ
  classes. الـ classes. ... إنت متخيل لو كان عندك vocabulary حجمها
  10,000 كلمة، ... ها، والـ document اللي بين إيديك، أيّا، هاي 10,000
  كلمة، والـ document اللي بين إيديك طوله 100 كلمة. 100 كلمة، وعندك
  مثلاً 5 classes، c1، c2، لحد c5، بتخيّل قدّيش هاد الرقم كبير؟ بتخيّل
  قدّيش بدّه space إنّك تخزّنه؟ كل space مندبّرها، بس وين المشكلة؟ قدّيش
  الـ computation كيف بدّه يحسبهم هذول؟ هتحسبهم هذول. كل مندبرها ومنلف
  for loop مع spark مع barrel processing مندبّر منلف ومنحسبهم، بس
  المشكلة الأكبر وين؟ إنّه فيش عندك enough evidences to quantify and
  calculate these probabilities، هادا منحكي ليش. هم لم نحكي ليش. ...
  إذاً could only be estimated، طبعاً عرفنا كيف هاي المعادلة إجت، يعني
  لو بدّك تفكّر فيها شويّة هيك accounting methods، افرض إنّه كل الـ
  documents حجمهم ثابت n، آه، وكل كلمة وكل موقع في الـ document كم
  احتمال إله؟ بعدد الكلمات المختلفة، مزبوط؟ فهم مزبوط؟ وهي بعدد كلمة
  يعني v ضرب v يعني x ضرب x ضرب x n من المربعة. طب ليش ضربها بعدد الـ
  classes؟ لإنّه كل permutation بدّه يتكرّر عند كل class. إذاً عرفنا
  إنّه في عندي مشكلة في الـ space هون space هون إذا بدّي إذا بدّي أراعي
  ترتيب الكلمات. could only be estimated if a very very large number of
  training examples was available. يعني بمختصر بقلّك إذا عندك
  computation power عالي وإذا عندك space، بتقدر تحسب هاي الـ
  probabilities، بس بشرط بس بشرط إنّه يكون عندك unlimited number of
  documents. فكّر فيها، منطقية. ليه؟ لإنّه أنا لو أعطيك مثلاً document
  في الـ training dataset، هقلّك هاد class C1، الـ document فيه ترتيب من
  الكلمات، صح؟ هل في احتماليّة إنّه في الـ test dataset يطلع عندك
  document document بشبه بالضبط هاد الـ document الـ training dataset،
  صعيب جداً تقترب من 0 إذا ما كانتش 0. فبالتالي عشان أجيب هاي الـ case
  بدّي عدد لا نهائي من الـ documents، وهاضا إشي impossible. طبعاً إذا في
  عندك عدد لا نهائي من الـ documents وطبّقت الـ Bayes rule عهاي المعادلة
  بضمن لك منضلك إنّه في، كون في عندك نتائج أفضل من أفضل large language
  model موجود عندك حالياً. ليه؟ لإنّه هاي very strong statistical method
  ومعروف يعني كيف وجدت. بس للأسف ما عندي لا space أقدر أخزّن فيها ولا
  computation power، لإنّا أنا الـ inference بدّيّة برضه يكون prompt
  يعني سريع. it's a real. ولا عندي unlimited number of documents،
  فتطبيقه في هاي الـ case untractable بسوء. practically does not make
  any sense. ... طيب شو بدّي أعمل؟ إذا بدّي أعمل relaxation assumption
  تبع الترتيب الكلمات، بدّي أفترض إنّه ترتيب الكلمات مش موجود. لمّا أعمل
  هاي الحركة هي الحركة؟ أفترض إنّه الكلمات لا تعتمد على بعضها، يعني ظهور
  الكلمة في موقع معيّن ما بيأثر عليه الكلمة اللي قبلها واللي بعدها، أو
  الكلمات اللي بعدها، أو الكلمات اللي قبلها، معناته أنا بطبّق شو؟ الـ
  conditional independence. هذا معروف الـ conditional independence في
  probability theory. theory. يعني بفترض إنّها هاي الـ features أو الـ
  random values independent of each other given a certain event. فبقى
  نشوف معناها إذاً، هاضا الـ document في الكلمات اللي فيه بتفترض الكلمات
  ملهاش تأثير على بعض عند class معين. إذا عملت هاضا الافتراض، طبعاً هاضا
  الافتراض الافتراض مش دايماً منطقه، في حالات بيكون فيها منطقه، زي مثلاً
  text classification، يعني أنا والله جبتلك very simple problem، قلتلك
  عندك documents، إشي مكتوب للـ sport، وإشي مكتوب للـ computer، وبنيلي
  classifier classifier. مش سهل، مش سهل عليّي إنّه إذا بيشوف بعض الكلمات
  هون أعرف إنّه sport، هل مهم إنّه هاي الكلمة إجت قبل الثانية؟ مش مهم،
  بس موجودها وتكرار موجودها هو المهم، عشان هيك هاد الـ هذا الـ
  assumption still valid في حالات كثير. فإذاً لمّا أفترض هاد الافتراض
  الافتراض، شو بتتحوّل هاي الـ joint probability هاي كيف تصير؟ باستخدام
  الـ independence assumption، probability للـ variable الأوّل given c
  ضرب، الـ probability للـ variable الثاني given c given الـ class إلى
  آخره. فإذاً أنا بطّرت عندي joint probability distribution for a long
  time. شنفرطها؟ يعني شو، شو احتماليّة أبقيت حجر النار مرتين إنت صح؟ شو
  احتماليّة إنّه يطلع head مع head؟ ... شايف joint أنا، head مع head،
  شايف joint هاد؟ بتكون لي ربع، ربع مزبوط، بس كيف جبت ربع؟ جبتها ربع،
  لإنّه قلتلي أصلاً ظهور الـ ظهور الحدث الأول بيأثّرش عالثاني، فإنت
  طبّقت الـ independence اللي هو هاي ضرب هذي، نص ضرب نص، نفس الـ issue
  هون. ... طيب إذاً صارت الأمور سهلة، هلّا لو أنا أنا بصلت أتطلّع على
  الـ likelihood مش هيك، مش هيك، كيف بطلّع عليها الـ likelihood؟ هيك، هل
  سهل أحسب وحدة منهم هدول؟ ... ستشتغل جداً. هل بدّك تفكّر فيها؟ عدد
  مرّات ظهور هاي الكلمة في كل الـ documents من الـ class c، بس، لأ شوفت
  كلمة قبلها ولا بعدها، بس count وعدّ على العدد. تعدّ مع العدد. ... إذاً
  صارت الـ joint probability distribution بعد ما طبّقت الـ Naive Bayes
  والـ conditional independence assumption، صارت هيك. ... تبعنات الـ
  كميّة الأولى قبّن c، ضرب الكميّة الثانية قبّن c، إلى آخره، اللي شفناها
  في آخر الـ slide السابق. السلاد السابق. ... وهاي اتفقنا الـ prior سهل
  إنّه عملها estimation. ... هلّأ هاد شو بسمّه؟ multinomial naive Bayes.
  ليش multinomial؟ لإنّه في عندك إنت multiple classes، class c1, 2, 3
  إلى آخره. 3 إلى آخره. هلّأ هاضا الحكي لمّا تشوف argmax، argmax و P،
  إنت بدّك تتخيّل إنّك قادم نعمل إحنا inference، شو يعني inference؟ يعني
  أعطيك هاد الـ documents، اضرب، وكرّر لي بالنهاية a class. على افتراض
  إنّه P هذول موجودات عندي. موجودات عندي. يعني هكذا قديم نعمل inference
  على افتراض إنّه موجودات، بس شو اللي بدنا ندرسه كمان شوي؟ كيف بدنا نعمل
  parameter estimation، كيف بدنا نحسب هدول. ... النهاية الـ slide برضه
  بيحكي عن الـ inference، إذا عندك test إنت document، بقلّك يعني
  بالنهاية حوّل، حوّل الكلمات لـ positions، كيف حكينا لكم إحنا قبل شوي
  قبل شوي، إنّه الكلمات اللي بتكون واجودة في الـ document لها ترتيب
  معيّن، فإنت بتمشي على كلمة كلمة في الـ documents وبتشوف احتماليّة كل
  كلمة، يعني هون هاد زي implementation tricks بس بدّي أحكيلك، إنّه كل
  document هو sequence of words، كل كلمة إلها موقع. إلها موقع. ... في
  هون عنده مشكلة، حكينا عنها إحنا المحاضرة الماضية بس بعيدلي إيّاه، شو
  المشكلة؟ لمّا أطبّق هاي المعادلة في الـ inference؟ إنّه لمّا يكون إنت
  حجم الـ document عندك كبير، 100 كلمة، 200 كلمة، 200 كلمة، رح تضرب عدد
  كبير من الـ probabilities مع بعض، آه؟ رح يصغروا، ورح يصير underflow،
  الـ computer مش رح يشوف ويوخذها كقيمة، بيحوّلها لـ 0. ولمّا بتحوّلها
  لـ 0، بتضرب كل المعادلة، كلها بتصير zeros. فشو بواخذها هو؟ بواخذ الـ
  log لهذا المقدار. هذا المقدار. ... إذاً بعد ما يوخذ الـ log حتى لكل
  المقدار، هاد معهد. بيحوّل الضرب فعلاً لزائد، فبصير في عندك هاي نزلة زي
  ما هي، بصير في عندك log لـ prior زائد مجموع الـ log لكل لكل احتمالية
  عندي. ... إذاً بنهاية رح تصفي نفس النتيجة. أنا ما بهمنيش ضلّيّة تضرب
  الـ probabilities مع بعض ولّا أخذت الـ log. الـ relative frequencies
  رح يبضل نفسها، والـ class والـ class اللي كان يوخذ أعلى probability رح
  يضل يوخذ أعلى log. log. ... إذاً هاضا اللي حكيناه اللي حكيناه. ...
  هلّأ إحنا حكينا عن الـ inference، تمام؟ هلّأ الـ layering الـ model
  parameter estimation estimation. ... إذاً learning the multinomial
  naive Bayes model، استخدام الـ maximum likelihood estimate. هلّأ بما
  إنّي أنا افترضت، يعني هيك فكر فيها، إنّي افترضت إنّه فيلمات وترتيبها
  مش مهم مش مهم، صار في عندي evidence تكون ممكن أحسب منها الـ
  probabilities بطريقة أفضل. يعني هون شو شو إجا حكالك؟ الـ prior باختصار
  زي ما اتفقنا كيف نحسبها؟ عدد الـ documents اللي كانوا إلهم class cj
  على كل عدد الـ documents. طيب، هلّا اللي هو الـ likelihood الـ
  likelihood أو كل factor في الـ likelihood، طبعاً ليش حط هون hat؟ بدي
  أرجيك إنّه هاضا estimate at the end. شو احتماليّة وجود كلمة i في class
  j؟ بتعدّلّي كم مرّة انذكرت كلمة i في كل الـ documents اللي إهم class
  j، على شو؟ عدد الكلمات الكلّي وين؟ في class j. شيء، هاي لو بدّك تفكّر
  فيها شو هي هاي؟ هاي عدد، عدد الكلمات في class j، إنّك إنت بتلف على كل
  كلمة في الـ vocabulary، بتعد كم مرّة تكرّرت في هاد الـ class، شو
  معناته؟ معناته المقام هو عدد الكلمات في كل الـ documents اللي لهم
  class j. j. وهاضا اللي أصلاً حكينا عنّا قبل شوي، شو تعرف هاي الـ
  probability؟ احتمالية حدوث هاي الكلمة من ضمن كل الكلمات اللي موجودة في
  class j. ... سهل أحسب هدول؟ هدول، ... لو بتفكّر فيا، إنت عندك
  documents مصنّفات، سهل تحسبهم؟ لو بدّك تعمل implementation للـ
  parameter estimation، فاضح إنّه مش صعبة، مش عندك كلمات في كل document،
  فصير أعد وقسم على العدد فقط. طب، ... إذاً هاضا حكينا عنّه. هلّا الـ
  implementation trick بس هون شو بيحكيلك؟ بيحكيلك عشان تبسّط الأمور على
  حالك الثاني الـ implementation، كل الـ documents اللي هم class j،
  حطّهم في one document، في one mega document. mega document. ... يعني
  كم document رح يصير عندك هسا هيك؟ بعدد class بس، بصير الـ
  implementation أسهل زي ما رح نشوف. ... ليه؟ لإنّك إنت بصير تحسب الـ
  frequency لكل كلمة في في document واحد، في الـ mega document بس. يعني
  شو احتماليت كلمة مثلاً old old given class j بتعد كم مرّة إنّه ذكرت
  كلمة old في كل الكلمات اللي في هاد الـ document اللي هو mega document
  j. ... شو في عنّا مشاكل؟ لسّه طبعاً المشاكل بتخلصش كثيراً، يعني
  المشكلة التالية مشكلة تالية، مرّت علينا سابقاً، كلمة fantastic، مثلاً
  اتخيّل إنّه عندك الـ problem sentiment analysis، يعني أنا أعطيك
  document تقلّي هل الـ review positive ولّا negative، وانذكرت فيه كلمة
  fantastic، شو شو بعطيك انطباع؟ positive. طيب، طيب، لنفرض إنّها في الـ
  training dataset ولا مرّة صدفت إنّه كلمة fantastic ترتبط مع positive،
  يعني ما نذكرها كلمة fantastic، وشفتها في الـ test dataset، هل أعطي هاي
  probability 0 أثناء الـ inference؟ مش منطق صح؟ فونبده يحلّي لي هاي
  المثابيح. لي هاي المشكلة. بيحلّي لي هاي المشكلة. إذاً بيقول اللي كونها
  ما صفّتش ولا مرّة في الـ training dataset تفتبطت الـ fantastic مع الـ
  positive معناته البصت 0، وكل probability هاي 0. هل منطق إنها تكون الـ
  probability للـ fantastic given positive 0؟ مش منطق. مش منطق؟ إذاً
  رجعنا لمشكلة الـ zero probabilities اللي حكينا عنهم مرّة الماضي،
  cannot be conditioned away no matter the other evidence. منقدرش يعني
  تجاهل الـ zero probability. فكيف إذاً بدّي أعمل؟ ممكن حل effective
  برضه يكون في عندي في عندي smoothing، وأخذنا المرّة الماضي lab-lassian
  smoothing، شو اللي lab-lassian smoothing؟ يعني أعرضها هون بطريقة
  جميلة، بتظاهر إنّي شفت كل كلمة في كل class مرّة واحدة زيادة، فجمع واحد
  هون، واحد هون، يعني بتظاهر إنّي شفت كلمة fantastic fantastic مرّة وحدة
  مع الـ positive class، وبرضه مرّة وحدة مع الـ negative، إذا أصلاً إذا
  ما ذكرتش مع الـ negative، بتقول لي مش منطق، بتقول لي خلّص إحنا بدناش
  دي أهم إشي أتخلّص من الـ zeros. ... هلّا هو شويّة math شو عمل؟ وزّع
  الـ summation على الجهتين جهتين، لمّا وزّع الـ summation عن جهتين، الـ
  هاي الـ 1 اتحولت لـ v، واضح ليش؟ لإنّه هو بلفّع كل الكلمات بجمع ones،
  وإنّه تصارت عنده v. فإذاً هاي بعد ما اتطبّق الـ add 1 لـ place and
  smoothing هيك بتصير معادلة الـ maximum likelihood estimate للـ
  likelihood factors. factor. ... مستحيل الـ probability عند أي كلمة في
  الـ vocabulary عند أي class تكون 0، وحتكون قيمة قليلة إذا ما تذكرتش
  ولهمرة بس مش 0، أهم إشي إنّا تخلّصت من الـ zeros. ... وهون بش بعطيك
  الـ pseudo code اللي بتستخدمه ستخدموا عشان تحث- تعمل الـ conti- تعمل
  fitting لـ model برامجها، بس هون وهون. ... استعرضهم سريعاً. هون عدّلّي
  كم عدد documents في class j على عدد documents الكامل عشان تحسب الـ
  prior. هون بعطيك الخطوات. خطوات، امشي عكل الـ documents اللي هم class
  j، ادمجهم كلهم مع بعض في mega document. إذاً صار عندك عدد من documents
  بعدد الـ classes. بعدين عند هاد الـ class j، امشي على كل كلمة، كلمة
  كلمة، عد كم مرّة انذكرت كل كلمة في class j، هاي هون. هيّهم. على شو؟
  ... على إيش؟ n، شو هي n؟ هادّي؟ إذاً هاي عدد المرّات اللي انذكرت فيها
  كلمة wk في class j، n هاي عدد الكلمات الكلّي في class j، طبعاً هدول
  شو؟ هذول شو؟ اللي هم smoothing، لما تستخدم 1، add 1 لـ Blessey
  smoothing بتكون الـ alpha 1. ... هاد عندي سؤال لحد هون. ... في هون
  نقطة مهمة إنّي أذكرها نذكرها، اللي هي إلّا تصدف إنّه هاي مشكلة أخرى
  غير الكلمات اللي بتكون اللي بشوفها أنا، سواء في الـ train أو الـ test،
  والكلمات اللي ممكن تيجي جديد في الـ test dataset، أو خليني أعيدها
  بصيغة ثانية. بصيغة ثانية. أنا لمّا بلّشت أحلّل الأمور وأبني الـ
  classifier شفت كنت شايف هذول الكلمات، 10,000 كلمة، بس لمّا بلّشت
  أستخدمها، صلت أشوف كلمات جديدة، لمّا عمريش شفتها، فهاي هي الـ unknown
  words. what about unknown words that appear in our test dataset but
  not in our training or vocabulary dataset؟ we ignore them بقلّك أحد
  الـ techniques techniques ممكن إنت تحمل. حين درسنا إشي سابقاً غير هيك
  صح؟ ما هملناهم إشي، أعطيناهم very small probability. لكن بقلّك إذا
  كانت الـ training dataset already representative enough وكبيرة، وطلّعت
  منها تقريباً كل الكلمات ممكن تكون مهمة، تكون مهمّة. فعندنا عادة في
  الغالب إذا في document في الـ test data فيه، في كلمة وحدة فيه مش
  موجودة ممكن ما تكونش مهمّة، ذالـ classification task، فهميها. remove
  them from the test document. Pretend they were not there. Don't
  include any probability for them at all. them at all. ... يعني بكونلك
  ظهور الكلمة الـ unknown في الـ test document عادةً ما بيكون evidence
  قوي إنّه يحكيلك لأي class تتبعه. ليش بالكم؟ مين بيحكيلي ليش؟ قل لي
  ليش؟ ... كمان مرّة، في الـ test dataset أنا عندي كلمة شفتها أول مرّة
  بشوفها، بقلّك إنّك إنّك تستخدمها وتعطيها probability بالعادة مش راحة
  في إيدك في الـ classification، لمّه تحديداً بتستخدم إيه فقط. احتمال
  صغير، طبعاً. احتمال صغير، okay. okay؟ ... لأنّه هو هاد الـ probability
  إلها إذا حسبت هزاً وتعاملت معها زي ما كنت تتعامل مع الـ zero
  probabilities، بتعطيها 1 على عدد هناثاً probability قليلة، رح تكون
  موجودة في كل الـ classes كل الـ classes، سواء c1 أو c2 أو c3، رح يلغوا
  بعض، النفس القيمة رح يوخذوا عند كل الـ classes، فمش رح يكون إلهم تأثير
  على النتيجة النهائية. ... stop words بجمالة بكلّك، يعني في شغلات إنت
  ممكن برضه توخذها معالي اعتبار، حسب الـ classification task اللي بين
  إيديك، مثلاً stop words stopwords هي كلمات بتتكرر كثير معنّا لكل لغة
  في إلها list في الـ stopwords. ... زي إيش الـ stopwords؟ stop words،
  the، he، she، الاخرى، هذول بعبروش عبّلعادة عن المعنى، وبتكرروا كثير في
  كل document. يعني كلمة the تقريباً بتتكرر في كل document، صح؟ فهل بالك
  رح تكون إلها أثر في تحديد class؟ كيد لا، فممكن تجاهل. ممكن جاهل. ...
  أخذتوا برضه كيف ممكن إنت تستعيض عن predefined list of stop words؟
  الجميع أخذوا knowledge rep- representation؟ كلكم أخذتوا knowledge
  representation صح؟ أخذتوا TF-IDF tf-idf؟ مين بيحطيلي كيف ممكن يساعدني
  الـ tf-idf؟ أو أنو اللي ممكن يساعدني في أي الجزئين هدول؟ إني أستعيض عن
  الـ stop words من خلاله، شو رأيكم؟ ... تتذكروا تذكروا؟ ... بالضبط، هاد
  إذا بتحكي عن إيش؟ عن الـ IDF. إذاً الـ IDF مهم بالنسبة إلنا هون في هذا
  الصياق، ليه؟ لإن شو الـ IDF بعطيك؟ وعطيك، بعطيك قيمة قليلة كثير إذا
  كانت الكلمة موجودة في كل الـ documents تقريباً، إذا كانت، هو فعلياً رح
  أعطيك 0 إذا كانت موجودة في كل الـ documents، فدائماً الـ IDF لدّه، IDF
  لدّه 0. معناته أنا ممكن أستخدم هاد الـ metric، الـ term metric عشان
  عشان أستعيب عن stop، يعني بدل ما تعطيني اللغة العربية stop words،
  وللغة الـ Chinese stop words، وتقلّي هدول stop words هون هون هاد، ممكن
  أنا أستخدم الـ IDF وأستغن عن هاي الشيء. عن هاي الشغلة. ... طبعاً هاد
  راجعوه لإنّه رح يلزمنا الـ TF-IDF اللي أخدتوه في الـ knowledge
  representation، كيف رح يلزمنا؟ ... إنّه another important method for
  feature representation لكل document، صح ولّا لأ؟ صح ولّا لأ؟ مش إحنا
  قبل شوي حكينا إنّه frequency of words، كل document معبر عنّه مثلاً كم
  مرّة تكرّرت كل كلمة، بس الـ TFD-IDF وهو إشي قوي ويستخدم كثير في الـ
  NLP، مش رح أنا أشرح لإنكم أخذتوه بس يعني خلّيوا في بالكم، هو أصلاً
  class في الـ Python، إيّا؟ آه، أخيراً بدّك تتعبّب بزيادة شوي، نقرأ عن
  الـ TF-IDF، تمام؟ أو كنّا أوفّر لك material أو video وبعثلت إيّه، بس
  سهل الـ concept منّي. الـ TF، شو؟ الـ TF كم مرّة انذكرت الكلمة في الـ
  document؟ كم مرّة انذكرت الكلمة في الـ document الواحد؟ الـ IDF IDF
  كديش مهمّة الكلمة اللي أنا بتنذكر في عدد قليل من الـ documents؟ إذا
  بتضربهم في بعض بعطيك هميّة للكلمة في document معيّن. فإذاً افرض إنّه
  في عندي أنا، بس خليني إذاً لو هيك نرتّب الأمور شويّة أموره شويّة. ...
  هاي شو في عندك إنت؟ بدّك تجهّز الـ documents اللي عندك بدّك تجهّزهم
  كأرقام عشان تبعثهم للـ machine learning algorithm. هون شو بيكون في
  عندك؟ الـ label. الـ label. c1، c2، هون شو بيكون في عندك؟ قبل شوي أوّل
  محاضرة أخذنا count vector، count vector يعني كم مرّة إذا كان عندك
  الكلمات مرتبات هيك، خلينا نفترض إنّه a، the the، is، run، إلى آخره. كم
  عدد الكلمات؟ v مزبوط، بعدد الكلمات المختلفة، إلهم هاضا الترتيب. الـ
  column الأوّر لمين بكون محجوز؟ للـ a، الثاني للـ the وهكذا. ممكن يكون
  حجم الـ vocabulary 5000 أو أكثر طبعاً. أو أكثر طبعاً. ... أول method
  وأبسط method عشان أحوّل الكلمات لأرقام الـ count vector. هون ذكرت
  مرتين، هون مرّة، هون عشرة، إلى آخره. هاي أبسط method. اللي أعقد منها
  حبيش، TF-IDF. TF-IDF، وبستخدموه كثير by the way for feature
  representation. الـ TF-IDF، يعني شو معنى القيمة اللي هون؟ القيمة اللي
  هون اللي هي طبعاً للـ document d1، الـ TF-IDF للكل لـ كيف رتبوهم
  بالعادة؟ مش مشكلة، للـ document d1 عند الكلمة إيش؟ a. ممكن تكون هاي
  قيمة زي هيك 2 point، ظاهر رح تكون 0، ليش رح تكون 0؟ لإنّه الـ a لإنّه
  الـ a تنذكر في كل الـ documents، فالـ IDF منها رح يكون 0، بس لو أخذ
  لأخذ كلمة run، TF-IDF لكلّمة run في document 1، ممكن تكون قيمة زي هيك.
